column
Protein
Protein ID
Entry Name
Gene
Protein Length
Organism
Protein Existence
Protein name
Protein Probability
230801kw_MKreileder_ProtC11_S3_B3_1_15898 MaxLFQ Intensity
230801kw_MKreileder_ProtC11_S3_B4_1_15899 MaxLFQ Intensity
230801kw_MKreileder_ProtD11_S3_A5_1_15912 MaxLFQ Intensity
230801kw_MKreileder_ProtD11_S3_A6_1_15913 MaxLFQ Intensity
Reporter Control TCS PD-L1 5 min
230801kw_MKreileder_ProtA12_S3_B8_1_15927 MaxLFQ Intensity
230801kw_MKreileder_ProtB12_S3_A10_1_15941 MaxLFQ Intensity
230801kw_MKreileder_ProtB12_S3_A9_1_15940 MaxLFQ Intensity
230801kw_MKreileder_ProtC12_S3_B11_1_15954 MaxLFQ Intensity
230801kw_MKreileder_ProtC12_S3_B12_1_15955 MaxLFQ Intensity
230801kw_MKreileder_ProtD12_S3_D1_1_15968 MaxLFQ Intensity
230801kw_MKreileder_ProtD12_S3_D2_1_15969 MaxLFQ Intensity
Reporter Control TCS PD-L1 20 min
230801kw_MKreileder_ProtA13_S3_B2_1_15860 MaxLFQ Intensity
230801kw_MKreileder_ProtB13_S3_A3_1_15886 MaxLFQ Intensity
230801kw_MKreileder_ProtB13_S3_A4_1_15887 MaxLFQ Intensity
230801kw_MKreileder_ProtC13_S3_B5_1_15900 MaxLFQ Intensity
230801kw_MKreileder_ProtC13_S3_B6_1_15901 MaxLFQ Intensity
230801kw_MKreileder_ProtD13_S3_A7_1_15914 MaxLFQ Intensity
230801kw_MKreileder_ProtD13_S3_A8_1_15915 MaxLFQ Intensity
Reporter Control TCS PD-L1 4h
230801kw_MKreileder_ProtA14_S3_B9_1_15928 MaxLFQ Intensity
230801kw_MKreileder_ProtB14_S3_A11_1_15942 MaxLFQ Intensity
230801kw_MKreileder_ProtB14_S3_A12_1_15943 MaxLFQ Intensity
230801kw_MKreileder_ProtC14_S3_C1_1_15956 MaxLFQ Intensity
230801kw_MKreileder_ProtC14_S3_C2_1_15957 MaxLFQ Intensity
230801kw_MKreileder_ProtD14_S3_D3_1_15970 MaxLFQ Intensity
230801kw_MKreileder_ProtD14_S3_D4_1_15971 MaxLFQ Intensity
